,diagnosis,disparate_impact,statistical_parity_difference,DIDI
0,0,0.7037037037037037,-0.04678362573099415,
1,1,0.611111111111111,-0.09427609427609429,
2,2,0.5263157894736842,-0.11842105263157895,
3,3,0.208,-0.1523076923076923,
4,4,0.6923076923076924,-0.051282051282051266,
5,5,0.39919354838709675,-0.14565004887585534,
6,6,0.13846153846153847,-0.23931623931623933,
