,diagnosis,disparate_impact,statistical_parity_difference,DIDI
0,0,2.3247863247863245,0.11689291101055806,0.06244963738920224
1,1,1.3676470588235294,0.047438330170778004,0.02481389578163773
2,2,1.187878787878788,0.03354978354978355,0.018149882903981257
3,3,1.435897435897436,0.06227106227106227,0.032818532818532836
4,4,6.081081081081082,0.20324324324324325,0.12129032258064515
5,5,3.942857142857143,0.12795031055900621,0.07721139430284858
6,6,6.545454545454545,0.23106060606060605,0.1337719298245614
